report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2023-12-01,Historical,Suburban,0,,106.56666666666666,1,106.56666666666666
2024-01-01,Historical,Suburban,11,0.45454545454545453,107.6,1,107.6
2024-02-01,Historical,Suburban,4,1.0,108.63333333333334,1,108.63333333333334
2024-03-01,Historical,Suburban,2,0.0,109.6,1,109.6
2024-04-01,Historical,Suburban,10,0.3,110.63333333333334,1,110.63333333333334
2024-05-01,Historical,Suburban,5,1.0,111.63333333333334,1,111.63333333333334
2024-06-01,Historical,Suburban,8,0.5,112.66666666666667,1,112.66666666666667
2024-07-01,Historical,Suburban,3,0.0,113.66666666666667,1,113.66666666666667
2024-08-01,Historical,Suburban,7,1.1428571428571428,114.7,1,114.7
2024-09-01,Historical,Suburban,4,0.5,115.73333333333333,1,115.73333333333333
2024-10-01,Historical,Suburban,9,0.8888888888888888,116.73333333333333,1,116.73333333333333
2024-11-01,Historical,Suburban,1,2.0,117.76666666666667,1,117.76666666666667
2024-12-01,Historical,Suburban,2,0.5,118.76666666666667,1,118.76666666666667
2015-03-01,Historical,Rural,3,1.0,0.0,0,0.0
2015-04-01,Historical,Rural,0,,1.0333333333333334,0,0.0
2015-05-01,Historical,Rural,6,1.5,2.033333333333333,0,0.0
2015-06-01,Historical,Rural,5,0.0,3.066666666666667,0,0.0
2015-07-01,Historical,Rural,10,1.4,4.066666666666666,0,0.0
2015-08-01,Historical,Rural,10,0.7,5.1,0,0.0
2015-09-01,Historical,Rural,20,0.85,6.133333333333334,0,0.0
2015-10-01,Historical,Rural,2,1.0,7.133333333333334,0,0.0
2015-11-01,Historical,Rural,8,1.125,8.166666666666666,0,0.0
2015-12-01,Historical,Rural,0,,9.166666666666666,0,0.0
2016-01-01,Historical,Rural,8,0.375,10.2,0,0.0
2016-02-01,Historical,Rural,12,1.0,11.233333333333333,0,0.0
2016-03-01,Historical,Rural,9,0.6666666666666666,12.2,0,0.0
2016-04-01,Historical,Rural,4,1.0,13.233333333333333,0,0.0
2016-05-01,Historical,Rural,0,,14.233333333333333,0,0.0
2016-06-01,Historical,Rural,0,,15.266666666666667,0,0.0
2016-07-01,Historical,Rural,3,1.0,16.266666666666666,0,0.0
2016-08-01,Historical,Rural,5,1.4,17.3,0,0.0
2016-09-01,Historical,Rural,2,0.0,18.333333333333332,0,0.0
2016-10-01,Historical,Rural,6,0.3333333333333333,19.333333333333332,0,0.0
2016-11-01,Historical,Rural,5,1.0,20.366666666666667,0,0.0
2016-12-01,Historical,Rural,5,0.6,21.366666666666667,0,0.0
2017-01-01,Historical,Rural,2,0.0,22.4,0,0.0
2017-02-01,Historical,Rural,8,1.25,23.433333333333334,0,0.0
2017-03-01,Historical,Rural,6,0.5,24.366666666666667,0,0.0
2017-04-01,Historical,Rural,3,1.0,25.4,0,0.0
2017-05-01,Historical,Rural,2,0.0,26.4,0,0.0
2017-06-01,Historical,Rural,9,1.3333333333333333,27.433333333333334,0,0.0
2017-07-01,Historical,Rural,3,1.0,28.433333333333334,0,0.0
2017-08-01,Historical,Rural,8,2.0,29.466666666666665,0,0.0
2017-09-01,Historical,Rural,0,,30.5,0,0.0
2017-10-01,Historical,Rural,0,,31.5,0,0.0
2017-11-01,Historical,Rural,11,0.36363636363636365,32.53333333333333,0,0.0
2017-12-01,Historical,Rural,7,0.8571428571428571,33.53333333333333,0,0.0
2018-01-01,Historical,Rural,3,1.0,34.56666666666667,0,0.0
2018-02-01,Historical,Rural,20,0.85,35.6,0,0.0
